tag_id,name
4900,'1120B'
4899,'1120C'
4898,'1120D'
4897,'1120E'
4896,'1120F'
4895,'1121A'
4894,'1121B'
4893,'1121C'
4892,'1129A1'
4891,'1129A2'
4890,'1129B'
4889,'1129C'
4888,'1129D'
4887,'1129E'
4886,'1130A'
4885,'1130B'
4884,'1130C'
4883,'1131A'
4882,'1131B'
4881,'1131C'
4880,'1131D'
4879,'1131E'
4878,'1131F'
4877,'1131G'
4876,'1132A'
4875,'1132B'
4874,'1132C'
4873,'1132D'
4872,'1132E'
4871,'1132F'
4870,'1132G'
4869,'1133A'
4868,'1133B'
4867,'1133C'
4866,'1133D'
4865,'1133E'
4864,'1133F1'
4863,'1133F2'
4862,'1136A'
4861,'1136B'
4860,'1136C'
4859,'1136D'
4858,'1136E'
4857,'1137A'
4856,'1137B'
4855,'1137C'
4854,'1137D'
4853,'1137E'
4852,'1137F'
4851,'1138A'
4850,'1138B'
4849,'1139A'
4848,'1139B'
4847,'1139C'
4846,'1139D'
4845,'1139E'
4844,'1139F'
4843,'1140A'
4842,'1140B'
4841,'1140C'
4840,'1140D'
4839,'1140E'
4838,'1140F'
4837,'1140G'
4836,'1141A'
4835,'1141B'
4834,'1141C'
4833,'1141D'
4832,'1141E'
4831,'1141F1'
4830,'1141F2'
4829,'1141G'
4828,'1142A'
4827,'1142B'
4826,'1142C'
4825,'1142D'
4824,'1142E'
4823,'1143A'
4822,'1143B'
4821,'1143C'
4820,'1144A'
4819,'1144B'
4818,'1144C'
4817,'1144D'
4816,'1144E'
4815,'1144F'
4814,'1144G'
4813,'1145A'
4812,'1145B'
4811,'1145C'
4810,'1145D'
4809,'1145E'
4808,'1145F'
4807,'1145G'
4806,'1146A'
4805,'1146B'
4804,'1146C'
4803,'1146D'
4802,'1146E'
4801,'1146F'
5000,'1146G'
4999,'1146H'
4998,'1147A'
4997,'1147B'
4996,'1147C'
4995,'1147D'
4994,'1147E'
4993,'1147F'
4992,'1148A'
4991,'1148B'
4990,'1148C'
4989,'1148D'
4988,'1148E'
4987,'1148F'
4986,'1148G'
4985,'1148H'
4984,'1149A'
4983,'1149B'
4982,'1149C'
4981,'1149D'
4980,'1149E'
4979,'1150A'
4978,'1150B'
4977,'1151A'
4976,'1151B'
4975,'1151C'
4974,'1151D'
4973,'1151E'
4972,'1151F'
4971,'1152A'
4970,'1152B'
4969,'1152C'
4968,'1152D'
4967,'1152E'
4966,'1152F1'
4965,'1152F2'
4964,'1153A'
4963,'1153B'
4962,'1153C'
4961,'1153D'
4960,'1153E'
4959,'1153F'
4958,'1154A'
4957,'1154B'
4956,'1154C'
4955,'1154D'
4954,'1154E'
4953,'1154F'
4952,'1154G'
4951,'1155A'
4950,'1155B'
4949,'1155C'
4948,'1155D'
4947,'1155E'
4946,'1155F'
4945,'1156A'
4944,'1156B'
4943,'1156C'
4942,'1156D'
4941,'1156E'
4940,'1156F'
4939,'1156G'
4938,'1157A'
4937,'1157B'
4936,'1157C1'
4935,'1157C2'
4934,'1157D'
4933,'1157E'
4932,'1157F'
4931,'1157G'
4930,'1158A'
4929,'1158B'
4928,'1158C'
4927,'1158D'
4926,'1158E'
4925,'1158F'
4924,'1159A'
4923,'1159B'
4922,'1160A2'
4921,'1162A'
4920,'1162B'
4919,'1163A'
